STATE,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,TOTAL ELECTORS
Tamil Nadu,MAYILADUTHURAI,RAMALINGAM. S,1,DMK,MALE,0,74,GENERAL,Graduate,"Rs 1,33,55,095
 ~ 1 Crore+","Rs 2,15,000
 ~ 2 Lacs+",1484842
Tamil Nadu,MAYILADUTHURAI,ASAIMANI. S,0,AIADMK,MALE,0,64,GENERAL,Post Graduate,"Rs 1,71,59,486
 ~ 1 Crore+","Rs 3,54,102
 ~ 3 Lacs+",1484842
Tamil Nadu,DHARMAPURI,RAJASEKAR. D.,0,MNM,MALE,1,43,GENERAL,Post Graduate,"Rs 1,64,26,500
 ~ 1 Crore+","Rs 53,94,587
 ~ 53 Lacs+",1485804
Tamil Nadu,DHARMAPURI,RUKMANIDEVI. R.,0,NTK,FEMALE,0,30,GENERAL,Post Graduate,"Rs 13,78,000
 ~ 13 Lacs+","Rs 0
 ~",1485804
Tamil Nadu,DHARMAPURI,PALANIAPPAN. P.,0,IND,MALE,4,57,GENERAL,Post Graduate,"Rs 4,80,79,072
 ~ 4 Crore+","Rs 53,06,342
 ~ 53 Lacs+",1485804
Tamil Nadu,DHARMAPURI,ANBUMANI RAMADOSS,0,PMK,MALE,12,50,GENERAL,Graduate Professional,"Rs 33,85,35,112
 ~ 33 Crore+","Rs 7,26,81,681
 ~ 7 Crore+",1485804
Tamil Nadu,DHARMAPURI,DNV SENTHILKUMAR. S.,1,DMK,MALE,1,41,GENERAL,Post Graduate,"Rs 4,84,77,451
 ~ 4 Crore+","Rs 60,53,502
 ~ 60 Lacs+",1485804
Tamil Nadu,CHENNAI NORTH,A. G. MOURYA,0,MNM,MALE,0,62,GENERAL,Post Graduate,"Rs 4,15,90,000
 ~ 4 Crore+","Rs 1,24,97,000
 ~ 1 Crore+",1487681
Tamil Nadu,CHENNAI NORTH,KALIYAMMAL.P,0,NTK,FEMALE,3,33,GENERAL,Graduate,"Rs 11,57,000
 ~ 11 Lacs+","Rs 1,30,000
 ~ 1 Lacs+",1487681
Tamil Nadu,CHENNAI NORTH,P.SANTHANA KRISHNAN,0,IND,MALE,0,44,GENERAL,10th Pass,"Rs 1,42,63,825
 ~ 1 Crore+","Rs 0
 ~",1487681
Tamil Nadu,CHENNAI NORTH,ALAGAAPURAM R. MOHANRAJ,0,DMDK,MALE,6,65,GENERAL,12th Pass,"Rs 4,57,42,218
 ~ 4 Crore+","Rs 28,31,960
 ~ 28 Lacs+",1487681
Tamil Nadu,CHENNAI NORTH,DR. KALANIDHI VEERASWAMY,1,DMK,MALE,0,49,GENERAL,Post Graduate,"Rs 40,52,94,714
 ~ 40 Crore+","Rs 25,83,86,550
 ~ 25 Crore+",1487681
Telangana,ADILABAD,GODAM NAGESH,0,TRS,MALE,0,54,ST,Post Graduate,"Rs 1,84,77,888
 ~ 1 Crore+","Rs 8,47,000
 ~ 8 Lacs+",1489790
Telangana,ADILABAD,RATHOD RAMESH,0,INC,MALE,3,52,ST,12th Pass,"Rs 3,64,91,000
 ~ 3 Crore+","Rs 1,53,00,000
 ~ 1 Crore+",1489790
Telangana,ADILABAD,SOYAM BAPU RAO,1,BJP,MALE,52,52,ST,12th Pass,"Rs 30,99,414
 ~ 30 Lacs+","Rs 2,31,450
 ~ 2 Lacs+",1489790
Tamil Nadu,TENKASI,MUNESHWARAN. K,0,MNM,MALE,0,44,SC,8th Pass,"Rs 10,96,500
 ~ 10 Lacs+","Rs 0
 ~",1492317
Tamil Nadu,TENKASI,MATHIVANAN.S.S,0,NTK,MALE,3,32,SC,12th Pass,"Rs 42,385
 ~ 42 Thou+","Rs 0
 ~",1492317
Tamil Nadu,TENKASI,PONNUTHAI. S,0,IND,FEMALE,0,32,SC,Post Graduate,"Rs 47,43,888
 ~ 47 Lacs+","Rs 4,84,000
 ~ 4 Lacs+",1492317
Tamil Nadu,TENKASI,DHANUSH.M.KUMAR,1,DMK,MALE,1,44,SC,Post Graduate,"Rs 5,13,60,700
 ~ 5 Crore+","Rs 28,96,862
 ~ 28 Lacs+",1492317
Tamil Nadu,TENKASI,DR.KRISHNASAMY.K,0,AIADMK,MALE,9,66,SC,Post Graduate,"Rs 25,95,84,771
 ~ 25 Crore+","Rs 1,62,20,826
 ~ 1 Crore+",1492317
Odisha,MAYURBHANJ,ANJANI SOREN,0,JMM,FEMALE,0,47,ST,12th Pass,"Rs 2,82,47,881
 ~ 2 Crore+","Rs 71,96,331
 ~ 71 Lacs+",1493205
Odisha,MAYURBHANJ,DR DEBASHIS MARNDI,0,BJD,MALE,0,41,ST,Graduate Professional,"Rs 1,18,42,615
 ~ 1 Crore+","Rs 6,32,703
 ~ 6 Lacs+",1493205
Odisha,MAYURBHANJ,BISHWESWAR TUDU,1,BJP,MALE,1,54,ST,10th Pass,"Rs 27,42,000
 ~ 27 Lacs+","Rs 4,00,000
 ~ 4 Lacs+",1493205
Odisha,MAYURBHANJ,PARBATI PURTY,0,IND,FEMALE,0,47,ST,Post Graduate,"Rs 1,06,73,347
 ~ 1 Crore+","Rs 10,00,000
 ~ 10 Lacs+",1493205
Uttarakhand,TEHRI GARHWAL,PRITAM SINGH,0,INC,MALE,1,60,ST,Graduate Professional,"Rs 9,42,52,961
 ~ 9 Crore+","Rs 92,78,744
 ~ 92 Lacs+",1493543
Uttarakhand,TEHRI GARHWAL,MALA RAJYA LAXMI SHAH,1,BJP,FEMALE,0,68,GENERAL,12th Pass,"Rs 1,84,66,40,100
 ~ 184 Crore+","Rs 1,35,00,00,000
 ~ 135 Crore+",1493543
Uttarakhand,TEHRI GARHWAL,GOPAL MANI,0,IND,MALE,0,59,GENERAL,Post Graduate,"Rs 1,80,29,611
 ~ 1 Crore+","Rs 0
 ~",1493543
Telangana,ZAHIRABAD,B.B.PATIL,1,TRS,MALE,18,63,GENERAL,Graduate,"Rs 1,28,78,51,556
 ~ 128 Crore+","Rs 1,15,35,000
 ~ 1 Crore+",1498666
Telangana,ZAHIRABAD,MADAN MOHAN RAO,0,INC,MALE,0,49,GENERAL,Post Graduate,"Rs 90,36,63,001
 ~ 90 Crore+","Rs 0
 ~",1498666
Telangana,ZAHIRABAD,BANALA LAXMA REDDY,0,BJP,MALE,3,47,GENERAL,12th Pass,"Rs 5,85,77,327
 ~ 5 Crore+","Rs 52,50,000
 ~ 52 Lacs+",1498666
Assam,TEZPUR,BIJOY KUMAR TIRU,0,IND,MALE,0,68,GENERAL,Graduate,"Rs 41,36,542
 ~ 41 Lacs+","Rs 1,00,000
 ~ 1 Lacs+",1499639
Assam,TEZPUR,M.G.V.K. BHANU,0,INC,MALE,0,60,GENERAL,Post Graduate,"Rs 8,28,46,198
 ~ 8 Crore+","Rs 0
 ~",1499639
Assam,TEZPUR,PALLAB LOCHAN DAS,1,BJP,MALE,0,41,GENERAL,Graduate,"Rs 1,44,45,139
 ~ 1 Crore+","Rs 0
 ~",1499639
Tamil Nadu,ARAKKONAM,"RAJENDRAN, N.",0,MNM,MALE,0,61,GENERAL,Post Graduate,"Rs 1,09,61,100
 ~ 1 Crore+","Rs 0
 ~",1500016
Tamil Nadu,ARAKKONAM,Y.R. PAVENDHAN,0,NTK,MALE,0,40,GENERAL,Post Graduate,"Rs 35,20,000
 ~ 35 Lacs+","Rs 0
 ~",1500016
Tamil Nadu,ARAKKONAM,N.G. PARTHIBAN,0,IND,MALE,0,43,GENERAL,8th Pass,"Rs 1,33,000
 ~ 1 Lacs+","Rs 0
 ~",1500016
Tamil Nadu,ARAKKONAM,A.K. MOORTHY,0,PMK,MALE,6,55,GENERAL,Post Graduate,"Rs 4,60,23,417
 ~ 4 Crore+","Rs 77,10,578
 ~ 77 Lacs+",1500016
Tamil Nadu,ARAKKONAM,S. JAGATHRAKSHAKAN,1,DMK,MALE,2,71,GENERAL,10th Pass,"Rs 1,14,69,84,897
 ~ 114 Crore+","Rs 16,63,65,972
 ~ 16 Crore+",1500016
Tamil Nadu,KANNIYAKUMARI,JAINTEEN. V,0,NTK,MALE,0,41,GENERAL,Graduate Professional,"Rs 62,08,507
 ~ 62 Lacs+","Rs 90,00,000
 ~ 90 Lacs+",1501250
Tamil Nadu,KANNIYAKUMARI,LEKSHMANAN. E,0,IND,MALE,0,55,GENERAL,Post Graduate,"Rs 11,34,16,099
 ~ 11 Crore+","Rs 1,25,51,484
 ~ 1 Crore+",1501250
Tamil Nadu,KANNIYAKUMARI,VASANTHAKUMAR. H,1,INC,MALE,0,68,GENERAL,Post Graduate,"Rs 4,17,49,30,444
 ~ 417 Crore+","Rs 1,54,75,11,439
 ~ 154 Crore+",1501250
Tamil Nadu,KANNIYAKUMARI,RADHAKRISHNAN. P,0,BJP,MALE,0,67,GENERAL,Graduate Professional,"Rs 7,49,96,453
 ~ 7 Crore+","Rs 0
 ~",1501250
Odisha,BERHAMPUR,CHANDRA SEKHAR SAHU,1,BJD,MALE,0,68,GENERAL,10th Pass,"Rs 1,17,16,989
 ~ 1 Crore+","Rs 0
 ~",1502455
Odisha,BERHAMPUR,V.CHANDRASEKHAR NAIDU,0,INC,MALE,1,52,GENERAL,Graduate,"Rs 36,00,00,000
 ~ 36 Crore+","Rs 8,000
 ~ 8 Thou+",1502455
Odisha,BERHAMPUR,BHRUGU BAXIPATRA,0,BJP,MALE,4,44,GENERAL,Graduate Professional,"Rs 3,10,44,317
 ~ 3 Crore+","Rs 16,50,465
 ~ 16 Lacs+",1502455
Punjab,FATEHGARH SAHIB,BANDEEP SINGH,0,AAP,MALE,0,35,SC,12th Pass,"Rs 50,69,771
 ~ 50 Lacs+","Rs 0
 ~",1502861
Punjab,FATEHGARH SAHIB,AMAR SINGH,1,INC,MALE,0,65,SC,Post Graduate,"Rs 3,28,08,836
 ~ 3 Crore+","Rs 0
 ~",1502861
Punjab,FATEHGARH SAHIB,MANWINDER SINGH GIASPURA,0,LIP,MALE,0,44,SC,Post Graduate,"Rs 76,89,077
 ~ 76 Lacs+","Rs 44,79,598
 ~ 44 Lacs+",1502861
Punjab,FATEHGARH SAHIB,DARBARA SINGH GURU,0,SAD,MALE,1,66,SC,Post Graduate,"Rs 4,09,31,745
 ~ 4 Crore+","Rs 2,10,54,000
 ~ 2 Crore+",1502861
Andhra Pradesh,VIZIANAGARAM,ASHOK GAJAPATHI RAJU PUSAPATI,0,TDP,MALE,0,67,GENERAL,12th Pass,"Rs 18,35,34,582
 ~ 18 Crore+","Rs 0
 ~",1503980
Andhra Pradesh,VIZIANAGARAM,BELLANA CHANDRA SEKHAR,1,YSRCP,MALE,4,57,GENERAL,Graduate Professional,"Rs 2,10,35,766
 ~ 2 Crore+","Rs 1,11,30,148
 ~ 1 Crore+",1503980
Andhra Pradesh,VIZIANAGARAM,MUKKA SRINIVAS RAO,0,JnP,MALE,0,39,GENERAL,10th Pass,"Rs 1,34,28,596
 ~ 1 Crore+","Rs 0
 ~",1503980
Andhra Pradesh,VIZIANAGARAM,ADIRAJU YEDLA,0,INC,MALE,0,52,GENERAL,Post Graduate,"Rs 4,72,14,000
 ~ 4 Crore+","Rs 30,88,876
 ~ 30 Lacs+",1503980
Odisha,DHENKANAL,MAHESH SAHOO,1,BJD,MALE,1,58,SC,12th Pass,"Rs 1,45,29,286
 ~ 1 Crore+","Rs 0
 ~",1504403
Odisha,DHENKANAL,RAJA KAMAKHYA PRASAD SINGH DEO,0,INC,MALE,0,77,GENERAL,12th Pass,"Rs 15,41,00,240
 ~ 15 Crore+","Rs 0
 ~",1504403
Odisha,DHENKANAL,RUDRA NARAYAN PANY,0,BJP,MALE,7,59,GENERAL,Graduate,"Rs 36,28,704
 ~ 36 Lacs+","Rs 0
 ~",1504403
Telangana,MAHBUBNAGAR,MANNE SRINIVAS REDDY,1,TRS,MALE,0,60,GENERAL,12th Pass,"Rs 6,33,53,123
 ~ 6 Crore+","Rs 45,69,251
 ~ 45 Lacs+",1506102
Telangana,MAHBUBNAGAR,CHALLA VAMSHI CHAND REDDY,0,INC,MALE,4,38,GENERAL,12th Pass,"Rs 1,57,59,063
 ~ 1 Crore+","Rs 17,22,846
 ~ 17 Lacs+",1506102
Telangana,MAHBUBNAGAR,ARUNA D.K,0,BJP,FEMALE,2,59,GENERAL,10th Pass,"Rs 78,83,98,644
 ~ 78 Crore+","Rs 5,16,70,191
 ~ 5 Crore+",1506102
Punjab,AMRITSAR,KULDIP SINGH DHALIWAL,0,AAP,MALE,0,58,GENERAL,10th Pass,"Rs 1,48,78,922
 ~ 1 Crore+","Rs 27,89,687
 ~ 27 Lacs+",1507875
Punjab,AMRITSAR,DASWINDER KAUR,0,CPI(M),FEMALE,0,55,GENERAL,Graduate,"Rs 6,61,000
 ~ 6 Lacs+","Rs 0
 ~",1507875
Punjab,AMRITSAR,GURJEET SINGH AUJLA,1,INC,MALE,0,46,GENERAL,12th Pass,"Rs 3,40,11,739
 ~ 3 Crore+","Rs 90,31,565
 ~ 90 Lacs+",1507875
Punjab,AMRITSAR,HARDEEP SINGH PURI,0,BJP,MALE,0,67,GENERAL,Post Graduate,"Rs 34,05,05,737
 ~ 34 Crore+","Rs 5,79,40,950
 ~ 5 Crore+",1507875
Chhattisgarh,KORBA,LAKHAN LAL DEWANGAN,0,IND,MALE,0,44,GENERAL,10th Pass,"Rs 18,74,834
 ~ 18 Lacs+","Rs 0
 ~",1508840
Chhattisgarh,KORBA,PARMIT SINGH,0,BSP,MALE,1,45,GENERAL,12th Pass,"Rs 65,04,950
 ~ 65 Lacs+","Rs 8,40,000
 ~ 8 Lacs+",1508840
Chhattisgarh,KORBA,JYOTSNA CHARANDAS MAHANT,1,INC,FEMALE,0,65,GENERAL,Post Graduate,"Rs 15,06,39,697
 ~ 15 Crore+","Rs 0
 ~",1508840
Chhattisgarh,KORBA,JYOTI NAND DUBEY,0,BJP,MALE,0,52,GENERAL,10th Pass,"Rs 1,70,97,616
 ~ 1 Crore+","Rs 2,95,672
 ~ 2 Lacs+",1508840
Chhattisgarh,KORBA,TULESHWAR HIRASINGH MARKAM,0,GGP,MALE,0,45,ST,Graduate Professional,"Rs 27,13,663
 ~ 27 Lacs+","Rs 0
 ~",1508840
Tamil Nadu,TIRUCHIRAPPALLI,ANANDHARAJA. V,0,MNM,MALE,0,53,GENERAL,Graduate,"Rs 1,01,45,000
 ~ 1 Crore+","Rs 5,67,000
 ~ 5 Lacs+",1508963
Tamil Nadu,TIRUCHIRAPPALLI,VINOTH. V,0,NTK,MALE,1,33,GENERAL,Post Graduate,"Rs 6,06,116
 ~ 6 Lacs+","Rs 4,03,605
 ~ 4 Lacs+",1508963
Tamil Nadu,TIRUCHIRAPPALLI,SARUBALA. R. THONDAIMAN,0,IND,FEMALE,0,60,GENERAL,Post Graduate,"Rs 92,38,76,327
 ~ 92 Crore+","Rs 9,11,82,000
 ~ 9 Crore+",1508963
Tamil Nadu,TIRUCHIRAPPALLI,THIRUNAVUKKARASAR. SU,1,INC,MALE,0,69,GENERAL,Post Graduate,"Rs 3,21,82,184
 ~ 3 Crore+","Rs 40,208
 ~ 40 Thou+",1508963
Tamil Nadu,TIRUCHIRAPPALLI,DR.ELANGOVAN. V,0,DMDK,MALE,0,70,GENERAL,Graduate Professional,"Rs 2,73,90,154
 ~ 2 Crore+","Rs 0
 ~",1508963
Karnataka,UDUPI CHIKMAGALUR,PRAMOD MADHWARAJ,0,JD(S),MALE,1,50,GENERAL,12th Pass,"Rs 99,07,39,778
 ~ 99 Crore+","Rs 2,18,13,972
 ~ 2 Crore+",1513806
Karnataka,UDUPI CHIKMAGALUR,P. PARAMESHWARA,0,BSP,MALE,1,43,SC,Graduate Professional,"Rs 49,94,000
 ~ 49 Lacs+","Rs 0
 ~",1513806
Karnataka,UDUPI CHIKMAGALUR,SHOBHA KARANDLAJE,1,BJP,FEMALE,3,52,GENERAL,Post Graduate,"Rs 10,48,72,668
 ~ 10 Crore+","Rs 4,99,36,840
 ~ 4 Crore+",1513806
Telangana,KHAMMAM,NAMA NAGESWR RAO,1,TRS,MALE,5,62,GENERAL,12th Pass,"Rs 1,07,46,71,341
 ~ 107 Crore+","Rs 8,07,21,594
 ~ 8 Crore+",1513809
Telangana,KHAMMAM,GOKINAPALLI VENKATESWAR RAO,0,IND,MALE,0,61,GENERAL,5th Pass,"Rs 39,68,500
 ~ 39 Lacs+","Rs 45,000
 ~ 45 Thou+",1513809
Telangana,KHAMMAM,NARALA SATYANARAYANA,0,JnP,MALE,0,46,GENERAL,Post Graduate,"Rs 22,01,365
 ~ 22 Lacs+","Rs 5,90,000
 ~ 5 Lacs+",1513809
Telangana,KHAMMAM,BODA VENKAT,0,CPI(M),MALE,0,54,SC,Graduate,"Rs 96,11,087
 ~ 96 Lacs+","Rs 31,85,000
 ~ 31 Lacs+",1513809
Telangana,KHAMMAM,RENUKA CHOWDHURY,0,INC,FEMALE,1,64,GENERAL,Post Graduate,"Rs 1,13,12,85,724
 ~ 113 Crore+","Rs 11,61,91,184
 ~ 11 Crore+",1513809
Telangana,KHAMMAM,DEVAKI VASUDEVA RAO,0,BJP,MALE,0,47,GENERAL,Others,"Rs 2,63,00,049
 ~ 2 Crore+","Rs 46,86,270
 ~ 46 Lacs+",1513809
Madhya Pradesh,CHHINDWARA,MANMOHAN SHAH BATTI,0,ABGP,MALE,2,56,ST,Post Graduate,"Rs 62,64,000
 ~ 62 Lacs+","Rs 20,75,000
 ~ 20 Lacs+",1514783
Madhya Pradesh,CHHINDWARA,GYANESHWAR GAJBHIYE,0,BSP,MALE,0,45,SC,10th Pass,"Rs 33,61,876
 ~ 33 Lacs+","Rs 0
 ~",1514783
Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,1,INC,MALE,0,44,GENERAL,Graduate,"Rs 6,60,19,46,757
 ~ 660 Crore+","Rs 87,91,712
 ~ 87 Lacs+",1514783
Madhya Pradesh,CHHINDWARA,NATHANSAHA KAWRETI,0,BJP,MALE,0,57,ST,10th Pass,"Rs 90,06,200
 ~ 90 Lacs+","Rs 2,36,000
 ~ 2 Lacs+",1514783
Odisha,KEONJHAR,CHANDRANI MURMU,0,BJD,FEMALE,0,25,ST,Graduate Professional,"Rs 3,40,580
 ~ 3 Lacs+","Rs 0
 ~",1516688
Odisha,KEONJHAR,MOHAN KUMAR HEMBRAM,0,INC,MALE,0,43,ST,Post Graduate,"Rs 72,33,000
 ~ 72 Lacs+","Rs 7,44,762
 ~ 7 Lacs+",1516688
Odisha,KEONJHAR,ANANTA NAYAK,0,BJP,MALE,1,49,ST,12th Pass,"Rs 55,12,006
 ~ 55 Lacs+","Rs 5,33,728
 ~ 5 Lacs+",1516688
Odisha,CUTTACK,BHARTRUHARI MAHTAB,1,BJD,MALE,0,62,GENERAL,Post Graduate,"Rs 10,68,94,976
 ~ 10 Crore+","Rs 0
 ~",1518996
Odisha,CUTTACK,PANCHANAN KANUNGO,0,INC,MALE,1,67,GENERAL,Post Graduate,"Rs 87,39,577
 ~ 87 Lacs+","Rs 1,52,000
 ~ 1 Lacs+",1518996
Odisha,CUTTACK,PRAKASH MISHRA,0,BJP,MALE,0,63,GENERAL,Post Graduate,"Rs 9,31,02,541
 ~ 9 Crore+","Rs 0
 ~",1518996
Tamil Nadu,POLLACHI,MOOKAMBIKA. R,0,MNM,FEMALE,0,40,GENERAL,Graduate Professional,"Rs 9,97,75,631
 ~ 9 Crore+","Rs 9,00,000
 ~ 9 Lacs+",1520504
Tamil Nadu,POLLACHI,SANUJA. U,0,NTK,FEMALE,0,35,GENERAL,Others,"Rs 5,84,781
 ~ 5 Lacs+","Rs 0
 ~",1520504
Tamil Nadu,POLLACHI,MUTHUKUMAR. S,0,IND,MALE,0,49,GENERAL,Graduate,"Rs 15,11,16,580
 ~ 15 Crore+","Rs 83,89,361
 ~ 83 Lacs+",1520504
Tamil Nadu,POLLACHI,SHANMUGA SUNDARAM. K,1,DMK,MALE,0,49,GENERAL,Graduate Professional,"Rs 13,31,09,284
 ~ 13 Crore+","Rs 1,33,60,639
 ~ 1 Crore+",1520504
Tamil Nadu,POLLACHI,MAHENDRAN. C,0,AIADMK,MALE,0,47,GENERAL,Post Graduate,"Rs 31,34,73,295
 ~ 31 Crore+","Rs 6,86,68,270
 ~ 6 Crore+",1520504
Andhra Pradesh,ANAKAPALLI,ADARI ANAND KUMAR,0,TDP,MALE,0,43,GENERAL,10th Pass,"Rs 41,05,47,212
 ~ 41 Crore+","Rs 20,55,91,400
 ~ 20 Crore+",1521363
Andhra Pradesh,ANAKAPALLI,DR.BEESETTI VENKATA SATYAVATHI,1,YSRCP,FEMALE,0,52,GENERAL,Graduate Professional,"Rs 9,15,26,244
 ~ 9 Crore+","Rs 1,11,39,279
 ~ 1 Crore+",1521363
Andhra Pradesh,ANAKAPALLI,CHINTALA PARTHA SARATHI,0,JnP,MALE,0,56,GENERAL,Post Graduate,"Rs 33,53,08,506
 ~ 33 Crore+","Rs 11,09,28,567
 ~ 11 Crore+",1521363
Andhra Pradesh,ANAKAPALLI,DR. GANDI VENKATA SATYANARAYANA RAO (DR VIKRAM),0,BJP,MALE,0,65,GENERAL,Post Graduate,"Rs 5,76,88,924
 ~ 5 Crore+","Rs 94,97,894
 ~ 94 Lacs+",1521363
Tamil Nadu,KALLAKURICHI,GANESH H,0,MNM,MALE,0,40,GENERAL,12th Pass,"Rs 46,07,825
 ~ 46 Lacs+","Rs 0
 ~",1528938
Tamil Nadu,KALLAKURICHI,SHARFUDEEN S,0,NTK,MALE,Not Available,40,GENERAL,Not Available,Not Available,Not Available,1528938
Tamil Nadu,KALLAKURICHI,KOMUGI MANIYAN M,0,IND,MALE,0,69,GENERAL,Graduate Professional,"Rs 1,04,87,161
 ~ 1 Crore+","Rs 4,00,000
 ~ 4 Lacs+",1528938
Tamil Nadu,KALLAKURICHI,SUDHISH L K,0,DMDK,MALE,5,51,GENERAL,Graduate,"Rs 60,17,47,124
 ~ 60 Crore+","Rs 17,52,46,855
 ~ 17 Crore+",1528938
Tamil Nadu,KALLAKURICHI,GAUTHAM SIGAMANI PON,1,DMK,MALE,1,44,GENERAL,Post Graduate,"Rs 47,11,86,830
 ~ 47 Crore+","Rs 8,11,31,909
 ~ 8 Crore+",1528938
Punjab,SANGRUR,BHAGWANT MANN,1,AAP,MALE,0,45,GENERAL,12th Pass,"Rs 1,64,27,274
 ~ 1 Crore+","Rs 0
 ~",1529431
Punjab,SANGRUR,KEWAL SINGH DHILLON,0,INC,MALE,0,68,GENERAL,12th Pass,"Rs 1,31,07,93,341
 ~ 131 Crore+","Rs 10,06,05,212
 ~ 10 Crore+",1529431
Punjab,SANGRUR,JASRAJ SINGH LONGIA,0,LIP,MALE,0,46,GENERAL,Graduate,"Rs 1,70,41,210
 ~ 1 Crore+","Rs 1,17,00,000
 ~ 1 Crore+",1529431
Punjab,SANGRUR,PARMINDER SINGH DHINDSA,0,SAD,MALE,1,43,GENERAL,Post Graduate,"Rs 17,90,35,633
 ~ 17 Crore+","Rs 0
 ~",1529431
Punjab,SANGRUR,SIMRANJIT SINGH MANN,0,SAD(M),MALE,0,74,GENERAL,Graduate,"Rs 17,09,71,628
 ~ 17 Crore+","Rs 50,00,000
 ~ 50 Lacs+",1529431
Tamil Nadu,TIRUPPUR,"CHANDIRAKUMAR, V.S.",0,MNM,MALE,0,46,GENERAL,10th Pass,"Rs 5,17,56,996
 ~ 5 Crore+","Rs 4,19,24,988
 ~ 4 Crore+",1530014
Tamil Nadu,TIRUPPUR,"SUBBARAYAN, K.",1,CPI(M),MALE,0,71,GENERAL,10th Pass,"Rs 80,35,576
 ~ 80 Lacs+","Rs 5,00,000
 ~ 5 Lacs+",1530014
Tamil Nadu,TIRUPPUR,"JAGANATHAN, P.",0,NTK,MALE,0,50,GENERAL,10th Pass,"Rs 1,28,62,368
 ~ 1 Crore+","Rs 0
 ~",1530014
Tamil Nadu,TIRUPPUR,"SELVAM, S.R.",0,IND,MALE,0,65,GENERAL,8th Pass,"Rs 6,15,58,069
 ~ 6 Crore+","Rs 1,55,37,415
 ~ 1 Crore+",1530014
Tamil Nadu,TIRUPPUR,"ANANDAN, M.S.M.",0,AIADMK,MALE,0,56,GENERAL,10th Pass,"Rs 9,38,84,772
 ~ 9 Crore+","Rs 1,02,78,297
 ~ 1 Crore+",1530014
Tamil Nadu,KRISHNAGIRI,SRI KARUNYA SUBRAHMANYAM,0,MNM,MALE,0,50,GENERAL,Graduate,"Rs 13,00,000
 ~ 13 Lacs+","Rs 0
 ~",1530404
Tamil Nadu,KRISHNAGIRI,MADHUSOODHANAN.N,0,NTK,MALE,0,37,GENERAL,Post Graduate,"Rs 1,03,36,958
 ~ 1 Crore+","Rs 14,00,000
 ~ 14 Lacs+",1530404
Tamil Nadu,KRISHNAGIRI,DR.A.CHELLAKUMAR,1,INC,MALE,5,58,GENERAL,Post Graduate,"Rs 12,10,87,979
 ~ 12 Crore+","Rs 6,68,17,959
 ~ 6 Crore+",1530404
Tamil Nadu,KRISHNAGIRI,K.P.MUNUSAMY,0,AIADMK,MALE,0,67,GENERAL,Graduate Professional,"Rs 11,56,19,769
 ~ 11 Crore+","Rs 0
 ~",1530404
Odisha,SUNDARGARH,SUNITA BISWAL,0,BJD,FEMALE,0,39,ST,Graduate,"Rs 1,91,17,337
 ~ 1 Crore+","Rs 7,73,540
 ~ 7 Lacs+",1531525
Odisha,SUNDARGARH,GEORGE TIRKEY,0,INC,MALE,41,60,ST,12th Pass,"Rs 9,01,058
 ~ 9 Lacs+","Rs 0
 ~",1531525
Odisha,SUNDARGARH,JUAL ORAM,1,BJP,MALE,2,58,ST,Others,"Rs 7,41,85,014
 ~ 7 Crore+","Rs 1,27,43,330
 ~ 1 Crore+",1531525
Odisha,SUNDARGARH,MISS JUSPIN LAKRA,0,IND,FEMALE,3,48,ST,10th Pass,"Rs 6,400
 ~ 6 Thou+","Rs 0
 ~",1531525
Odisha,BALASORE,RABINDRA KUMAR JENA,0,BJD,MALE,0,51,GENERAL,Others,"Rs 72,61,51,097
 ~ 72 Crore+","Rs 6,33,41,667
 ~ 6 Crore+",1531781
Odisha,BALASORE,NAVAJYOTI PATNAIK,0,INC,MALE,0,46,GENERAL,Graduate Professional,"Rs 1,04,20,05,000
 ~ 104 Crore+","Rs 1,07,95,82,000
 ~ 107 Crore+",1531781
Odisha,BALASORE,PRATAP CHANDRA SARANGI,1,BJP,MALE,7,64,GENERAL,Graduate,"Rs 13,46,236
 ~ 13 Lacs+","Rs 160
 ~ 1 Hund+",1531781
Andhra Pradesh,RAJAHMUNDRY,MAGANTI ROOPA,0,TDP,FEMALE,0,45,GENERAL,Graduate,"Rs 43,18,48,590
 ~ 43 Crore+","Rs 32,48,74,000
 ~ 32 Crore+",1534256
Andhra Pradesh,RAJAHMUNDRY,MARGANI BHARAT,1,YSRCP,MALE,2,36,GENERAL,Graduate,"Rs 45,82,05,360
 ~ 45 Crore+","Rs 1,78,14,757
 ~ 1 Crore+",1534256
Andhra Pradesh,RAJAHMUNDRY,AKULA SATYANARAYANA,0,JnP,MALE,0,55,GENERAL,Post Graduate,"Rs 67,39,24,565
 ~ 67 Crore+","Rs 46,19,54,372
 ~ 46 Crore+",1534256
Andhra Pradesh,RAJAHMUNDRY,NALLURI VIJAYA SRINIVASA RAO,0,INC,MALE,0,55,GENERAL,12th Pass,"Rs 5,62,700
 ~ 5 Lacs+","Rs 2,61,693
 ~ 2 Lacs+",1534256
Tamil Nadu,MADURAI,ALAGAR M,0,MNM,MALE,0,52,GENERAL,Graduate Professional,"Rs 62,97,227
 ~ 62 Lacs+","Rs 46,76,374
 ~ 46 Lacs+",1539026
